Cluster,Class,Count,Percentage
0,0,2678,27.852314092563702
0,1,3591,19.365798414496034
0,2,983,18.856704392863993
0,3,956,25.541009885118886
0,4,238,24.663212435233163
0,5,397,61.64596273291926
0,6,148,25.0
0,7,236,43.144424131627055
0,8,5,1.7543859649122806
0,9,11,5.188679245283019
1,0,1353,14.07176287051482
1,1,2179,11.751065091948444
1,2,1507,28.908497985804722
1,3,1896,50.65455516965002
1,4,341,35.336787564766844
1,5,30,4.658385093167702
1,6,86,14.527027027027026
1,7,305,55.758683729433265
1,9,8,3.7735849056603774
2,0,94,0.9776391055642226
2,1,6689,36.072911610850454
2,2,64,1.2276999808171878
2,3,2,0.05343307507347048
2,5,5,0.7763975155279503
2,6,1,0.16891891891891891
3,0,2752,28.621944877795112
3,1,60,0.3235722375020223
3,2,27,0.5179359294072511
3,3,6,0.16029922522041143
3,4,43,4.455958549222798
3,5,36,5.590062111801243
3,6,96,16.216216216216218
3,7,2,0.3656307129798903
3,8,229,80.35087719298247
3,9,25,11.79245283018868
4,0,15,0.15600624024961
4,1,9,0.04853583562530335
4,2,2134,40.93612123537311
4,3,4,0.10686615014694097
4,4,1,0.10362694300518134
4,5,2,0.3105590062111801
4,6,1,0.16891891891891891
4,7,1,0.18281535648994515
5,0,1025,10.660426417056684
5,1,17,0.091678800625573
5,2,43,0.8248609246115481
5,4,284,29.430051813471504
5,5,44,6.832298136645963
5,6,203,34.29054054054054
5,8,49,17.192982456140353
5,9,163,76.88679245283019
6,0,18,0.187207488299532
6,1,3735,20.142371784500888
6,3,1,0.02671653753673524
6,7,1,0.18281535648994515
7,0,21,0.21840873634945399
7,1,2030,10.947527368818422
8,0,68,0.7072282891315652
8,1,220,1.1864315375074153
8,2,450,8.632265490120853
8,3,876,23.403686882180068
8,4,26,2.6943005181347153
8,6,5,0.8445945945945946
8,7,1,0.18281535648994515
9,0,1591,16.5470618824753
9,1,13,0.07010731812543818
9,2,5,0.0959140610013428
9,3,2,0.05343307507347048
9,4,32,3.316062176165803
9,5,130,20.18633540372671
9,6,52,8.783783783783784
9,7,1,0.18281535648994515
9,8,2,0.7017543859649122
9,9,5,2.358490566037736
