Cluster,Class,Count,Percentage
-1,0,8119,84.44097763910557
-1,1,12049,64.97869816103112
-1,2,2509,48.12967581047381
-1,3,1917,51.21560245792145
-1,4,957,99.17098445595855
-1,5,634,98.4472049689441
-1,6,568,95.94594594594594
-1,7,403,73.6745886654479
-1,8,224,78.59649122807018
-1,9,170,80.18867924528303
0,0,1,0.010400416016640665
0,1,24,0.12942889500080892
1,0,2,0.02080083203328133
1,7,12,2.1937842778793417
2,1,20,0.10785741250067411
3,2,27,0.5179359294072511
4,1,11,0.05932157687537076
5,1,19,0.10246454187564039
6,1,29,0.15639324812597746
7,2,33,0.6330328026088625
8,0,2,0.02080083203328133
8,1,24,0.12942889500080892
8,2,1,0.01918281220026856
9,1,11,0.05932157687537076
10,2,39,0.7481296758104738
11,1,26,0.14021463625087635
12,2,39,0.7481296758104738
13,3,34,0.9083622762489982
14,1,12,0.06471444750040446
15,1,12,0.06471444750040446
16,2,1,0.01918281220026856
16,7,13,2.376599634369287
17,1,1,0.0053928706250337055
17,2,34,0.652215614809131
18,3,20,0.5343307507347047
19,2,12,0.2301937464032227
20,2,20,0.3836562440053712
21,2,25,0.479570305006714
22,0,22,0.22880915236609464
23,0,3,0.031201248049921998
23,1,29,0.15639324812597746
24,1,22,0.11864315375074153
25,0,1,0.010400416016640665
25,1,59,0.3181793668769886
26,2,34,0.652215614809131
27,1,21,0.11325028312570783
28,2,46,0.8824093612123538
29,0,1,0.010400416016640665
29,2,31,0.5946671782083254
30,2,45,0.8632265490120852
31,2,23,0.4412046806061769
32,1,19,0.10246454187564039
33,2,45,0.8632265490120852
34,2,34,0.652215614809131
35,2,19,0.3644734318051026
36,0,2,0.02080083203328133
36,2,39,0.7481296758104738
37,1,24,0.12942889500080892
38,0,3,0.031201248049921998
38,2,38,0.7289468636102052
38,3,3,0.08014961261020571
39,3,31,0.8282126636387924
40,1,13,0.07010731812543818
41,2,27,0.5179359294072511
42,2,29,0.5563015538077882
43,0,2,0.02080083203328133
43,1,33,0.1779647306261123
44,2,33,0.6330328026088625
45,0,1,0.010400416016640665
45,1,21,0.11325028312570783
46,1,32,0.17257186000107858
47,2,17,0.3261078074045655
48,1,22,0.11864315375074153
49,1,16,0.08628593000053929
50,1,13,0.07010731812543818
51,3,21,0.56104728827144
52,1,34,0.183357601251146
53,1,22,0.11864315375074153
54,3,59,1.576275714667379
55,3,6,0.16029922522041143
55,7,5,0.9140767824497258
56,0,47,0.4888195527821113
57,2,11,0.21101093420295416
58,1,16,0.08628593000053929
59,2,30,0.5754843660080567
60,1,18,0.0970716712506067
61,2,28,0.5371187416075196
62,0,2,0.02080083203328133
62,1,30,0.16178611875101115
63,0,1,0.010400416016640665
63,2,9,0.17264530980241705
64,0,16,0.16640665626625065
65,1,19,0.10246454187564039
66,1,11,0.05932157687537076
67,2,14,0.2685593708037598
68,1,33,0.1779647306261123
69,0,3,0.031201248049921998
69,3,18,0.48089767566123426
69,7,4,0.7312614259597806
70,0,1,0.010400416016640665
70,2,1,0.01918281220026856
70,3,31,0.8282126636387924
71,1,38,0.20492908375128077
72,3,8,0.21373230029388193
72,7,12,2.1937842778793417
73,1,39,0.2103219543763145
74,1,32,0.17257186000107858
75,1,23,0.12403602437577523
76,0,1,0.010400416016640665
76,3,39,1.0419449639326743
77,3,40,1.0686615014694094
78,3,53,1.4159764894469677
79,3,25,0.6679134384183809
80,2,20,0.3836562440053712
81,1,1,0.0053928706250337055
81,2,66,1.266065605217725
82,1,30,0.16178611875101115
83,1,19,0.10246454187564039
84,0,5,0.05200208008320333
84,1,25,0.13482176562584264
84,3,28,0.7480630510285867
85,0,41,0.4264170566822673
86,1,23,0.12403602437577523
87,3,21,0.56104728827144
88,3,36,0.9617953513224685
89,3,41,1.0953780390061447
90,1,35,0.1887504718761797
91,0,1,0.010400416016640665
91,3,20,0.5343307507347047
92,2,32,0.6138499904085939
93,2,15,0.2877421830040284
94,2,28,0.5371187416075196
95,1,1,0.0053928706250337055
95,3,35,0.9350788137857333
96,0,12,0.12480499219968799
96,2,1,0.01918281220026856
97,1,46,0.24807204875155045
98,2,16,0.30692499520429695
99,0,14,0.14560582423296933
100,2,43,0.8248609246115481
101,2,35,0.6713984270093996
101,7,1,0.18281535648994515
102,2,31,0.5946671782083254
103,2,35,0.6713984270093996
104,1,34,0.183357601251146
105,1,23,0.12403602437577523
106,0,2,0.02080083203328133
106,2,38,0.7289468636102052
106,4,1,0.10362694300518134
107,2,22,0.42202186840590833
108,1,17,0.091678800625573
109,1,29,0.15639324812597746
110,0,2,0.02080083203328133
110,3,20,0.5343307507347047
111,1,15,0.08089305937550557
112,1,74,0.39907242625249423
113,1,24,0.12942889500080892
114,1,11,0.05932157687537076
115,1,28,0.15100037750094375
116,1,38,0.20492908375128077
117,3,50,1.3358268768367618
118,0,10,0.10400416016640666
118,3,7,0.18701576275714668
119,2,36,0.6905812392096682
120,2,38,0.7289468636102052
121,2,38,0.7289468636102052
122,3,16,0.42746460058776387
123,1,15,0.08089305937550557
124,0,2,0.02080083203328133
124,3,24,0.6411969008816457
125,1,34,0.183357601251146
126,1,38,0.20492908375128077
127,0,1,0.010400416016640665
127,1,11,0.05932157687537076
128,2,30,0.5754843660080567
129,3,44,1.1755276516163504
130,3,24,0.6411969008816457
131,3,21,0.56104728827144
132,0,1,0.010400416016640665
132,3,40,1.0686615014694094
133,0,18,0.187207488299532
133,3,2,0.05343307507347048
134,3,32,0.8549292011755277
135,3,23,0.6144803633449105
136,3,35,0.9350788137857333
137,3,32,0.8549292011755277
138,0,2,0.02080083203328133
138,3,28,0.7480630510285867
139,3,31,0.8282126636387924
140,3,20,0.5343307507347047
141,0,1,0.010400416016640665
141,3,39,1.0419449639326743
142,0,1,0.010400416016640665
142,1,1,0.0053928706250337055
142,3,38,1.015228426395939
143,3,40,1.0686615014694094
144,3,44,1.1755276516163504
145,3,34,0.9083622762489982
146,0,1,0.010400416016640665
146,3,27,0.7213465134918514
147,0,2,0.02080083203328133
147,3,105,2.8052364413572
148,0,1,0.010400416016640665
148,3,35,0.9350788137857333
149,3,35,0.9350788137857333
150,3,81,2.1640395404755544
151,1,27,0.14560750687591004
152,7,15,2.742230347349177
153,0,25,0.26001040041601664
153,3,3,0.08014961261020571
153,7,1,0.18281535648994515
154,1,19,0.10246454187564039
155,1,39,0.2103219543763145
156,1,22,0.11864315375074153
157,0,1,0.010400416016640665
157,2,33,0.6330328026088625
158,2,21,0.40283905620563976
159,1,14,0.07550018875047187
160,1,25,0.13482176562584264
161,2,29,0.5563015538077882
162,0,1,0.010400416016640665
