Cluster,Class,Count,Percentage
0,0,1411,14.67498699947998
0,1,1651,8.903629401930647
0,2,694,13.312871666986382
0,3,73,1.9503072401816726
0,4,319,33.05699481865285
0,5,117,18.16770186335404
0,6,238,40.2027027027027
0,7,23,4.204753199268739
0,8,57,20.0
0,9,157,74.05660377358491
1,0,1110,11.54446177847114
1,1,2139,11.535350266947097
1,2,135,2.5896796470362555
1,3,412,11.00721346513492
1,4,67,6.94300518134715
1,5,90,13.975155279503104
1,6,8,1.3513513513513513
1,7,81,14.80804387568556
1,9,1,0.4716981132075472
2,0,42,0.43681747269890797
2,1,5224,28.172356145176074
2,2,1,0.01918281220026856
3,0,1525,15.860634425377015
3,1,1459,7.868198241924176
3,2,313,6.0042202186840585
3,3,334,8.923323537269571
3,4,75,7.772020725388601
3,5,129,20.031055900621116
3,6,129,21.79054054054054
3,7,48,8.775137111517367
3,8,8,2.807017543859649
3,9,12,5.660377358490567
4,0,865,8.996359854394175
4,1,1262,6.805802728792536
4,2,1066,20.448877805486283
4,3,1071,28.61341170184344
4,4,142,14.715025906735752
4,5,54,8.385093167701864
4,6,47,7.939189189189189
4,7,279,51.005484460694696
4,9,5,2.358490566037736
5,0,2666,27.727509100364017
5,1,25,0.13482176562584264
5,2,6,0.11509687320161135
5,3,1,0.02671653753673524
5,4,35,3.6269430051813467
5,5,136,21.11801242236025
5,6,90,15.202702702702704
5,7,3,0.5484460694698354
5,8,211,74.03508771929825
5,9,11,5.188679245283019
6,0,17,0.1768070722828913
6,1,15,0.08089305937550557
6,2,2495,47.861116439670056
6,3,6,0.16029922522041143
6,4,2,0.20725388601036268
6,6,1,0.16891891891891891
6,7,1,0.18281535648994515
7,0,278,2.8913156526261052
7,1,1002,5.403656366283773
7,2,386,7.404565509303664
7,3,1715,45.818861875500936
7,4,292,30.259067357512954
7,5,3,0.4658385093167702
7,6,57,9.628378378378379
7,7,70,12.79707495429616
7,9,24,11.320754716981133
8,0,1647,17.129485179407176
8,1,525,2.8312570781426953
8,2,44,0.8440437368118167
8,3,128,3.419716804702111
8,4,30,3.1088082901554404
8,5,104,16.149068322981368
8,6,22,3.7162162162162162
8,7,41,7.495429616087751
8,8,9,3.1578947368421053
8,9,2,0.9433962264150944
9,0,54,0.5616224648985959
9,1,5241,28.264034945801654
9,2,73,1.4003452906196048
9,3,3,0.08014961261020571
9,4,3,0.31088082901554404
9,5,11,1.7080745341614907
9,7,1,0.18281535648994515
