Cluster,Class,Count,Percentage
-1,0,7933,82.5065002600104
-1,1,13015,70.18821118481368
-1,2,2839,54.46000383656244
-1,3,2024,54.07427197435213
-1,4,955,98.96373056994818
-1,5,606,94.09937888198758
-1,6,568,95.94594594594594
-1,7,432,78.97623400365632
-1,8,196,68.77192982456141
-1,9,170,80.18867924528303
0,1,11,0.05932157687537076
1,2,45,0.8632265490120852
2,1,11,0.05932157687537076
3,1,23,0.12403602437577523
4,1,28,0.15100037750094375
5,1,29,0.15639324812597746
6,0,3,0.031201248049921998
6,1,29,0.15639324812597746
7,1,19,0.10246454187564039
8,2,13,0.24937655860349126
9,1,12,0.06471444750040446
10,1,13,0.07010731812543818
11,2,16,0.30692499520429695
12,0,1,0.010400416016640665
12,1,58,0.3127864962519549
13,1,33,0.1779647306261123
14,0,2,0.02080083203328133
14,2,39,0.7481296758104738
15,1,17,0.091678800625573
16,0,1,0.010400416016640665
16,1,32,0.17257186000107858
17,1,13,0.07010731812543818
18,1,13,0.07010731812543818
19,2,20,0.3836562440053712
20,1,14,0.07550018875047187
21,0,2,0.02080083203328133
21,1,21,0.11325028312570783
22,0,19,0.19760790431617264
23,2,35,0.6713984270093996
24,0,1,0.010400416016640665
24,2,31,0.5946671782083254
25,0,2,0.02080083203328133
25,1,24,0.12942889500080892
26,1,15,0.08089305937550557
27,1,23,0.12403602437577523
28,2,29,0.5563015538077882
29,1,25,0.13482176562584264
30,3,34,0.9083622762489982
31,0,1,0.010400416016640665
31,2,39,0.7481296758104738
32,2,39,0.7481296758104738
33,1,33,0.1779647306261123
34,1,18,0.0970716712506067
35,1,32,0.17257186000107858
36,1,20,0.10785741250067411
37,1,10,0.053928706250337057
38,1,31,0.16717898937604486
39,1,18,0.0970716712506067
40,1,13,0.07010731812543818
41,1,36,0.1941433425012134
42,0,38,0.3952158086323453
43,1,34,0.183357601251146
44,1,23,0.12403602437577523
45,1,18,0.0970716712506067
45,2,1,0.01918281220026856
46,0,8,0.08320332813312532
46,3,6,0.16029922522041143
47,2,15,0.2877421830040284
48,3,18,0.48089767566123426
49,0,12,0.12480499219968799
50,0,1,0.010400416016640665
50,2,38,0.7289468636102052
50,3,2,0.05343307507347048
51,2,45,0.8632265490120852
52,2,40,0.7673124880107424
53,1,62,0.3343579787520897
54,1,28,0.15100037750094375
55,1,17,0.091678800625573
56,0,2,0.02080083203328133
56,1,30,0.16178611875101115
57,2,38,0.7289468636102052
58,2,31,0.5946671782083254
59,0,1,0.010400416016640665
59,1,19,0.10246454187564039
60,1,30,0.16178611875101115
61,1,17,0.091678800625573
62,0,1,0.010400416016640665
62,7,11,2.010968921389397
63,2,21,0.40283905620563976
64,1,94,0.5069298387531683
65,1,17,0.091678800625573
66,0,18,0.187207488299532
66,2,1,0.01918281220026856
67,1,32,0.17257186000107858
68,1,38,0.20492908375128077
69,0,47,0.4888195527821113
70,1,1,0.0053928706250337055
70,2,32,0.6138499904085939
71,2,25,0.479570305006714
72,0,2,0.02080083203328133
72,3,18,0.48089767566123426
73,0,1,0.010400416016640665
73,3,27,0.7213465134918514
74,1,15,0.08089305937550557
75,1,45,0.24267917812651674
76,2,20,0.3836562440053712
77,2,19,0.3644734318051026
78,0,1,0.010400416016640665
78,2,33,0.6330328026088625
79,1,11,0.05932157687537076
80,1,16,0.08628593000053929
81,2,17,0.3261078074045655
82,1,12,0.06471444750040446
83,2,30,0.5754843660080567
84,0,10,0.10400416016640666
84,1,17,0.091678800625573
85,1,12,0.06471444750040446
86,1,12,0.06471444750040446
87,1,31,0.16717898937604486
88,1,13,0.07010731812543818
89,3,29,0.7747795885653219
90,0,2,0.02080083203328133
90,3,23,0.6144803633449105
91,2,22,0.42202186840590833
92,0,1,0.010400416016640665
92,2,15,0.2877421830040284
93,3,68,1.8167245524979965
94,1,35,0.1887504718761797
95,0,2,0.02080083203328133
95,1,64,0.34514372000215715
96,2,13,0.24937655860349126
97,2,13,0.24937655860349126
98,1,18,0.0970716712506067
99,0,1,0.010400416016640665
99,1,12,0.06471444750040446
100,1,38,0.20492908375128077
101,0,12,0.12480499219968799
101,3,86,2.2976222281592307
102,3,19,0.5076142131979695
103,0,1,0.010400416016640665
103,1,10,0.053928706250337057
104,1,26,0.14021463625087635
105,2,26,0.4987531172069825
106,2,34,0.652215614809131
107,1,42,0.22650056625141565
108,1,11,0.05932157687537076
109,1,30,0.16178611875101115
109,3,1,0.02671653753673524
110,0,1,0.010400416016640665
110,3,40,1.0686615014694094
111,3,36,0.9617953513224685
112,1,19,0.10246454187564039
113,1,24,0.12942889500080892
114,1,20,0.10785741250067411
115,3,33,0.8816457387122629
116,3,32,0.8549292011755277
117,3,11,0.2938819129040876
118,0,1,0.010400416016640665
118,1,1,0.0053928706250337055
118,3,60,1.6029922522041145
119,0,16,0.16640665626625065
119,3,2,0.05343307507347048
120,3,20,0.5343307507347047
121,3,15,0.4007480630510286
122,3,31,0.8282126636387924
123,0,2,0.02080083203328133
123,3,25,0.6679134384183809
124,0,1,0.010400416016640665
124,3,39,1.0419449639326743
125,0,1,0.010400416016640665
125,1,1,0.0053928706250337055
125,3,38,1.015228426395939
126,3,25,0.6679134384183809
127,3,27,0.7213465134918514
128,3,17,0.4541811381244991
129,3,35,0.9350788137857333
130,3,31,0.8282126636387924
131,3,39,1.0419449639326743
132,3,32,0.8549292011755277
133,0,1,0.010400416016640665
133,3,34,0.9083622762489982
134,0,1,0.010400416016640665
134,3,26,0.6946299759551162
135,3,81,2.1640395404755544
136,0,2,0.02080083203328133
136,3,105,2.8052364413572
137,3,43,1.1488111140796153
138,1,29,0.15639324812597746
138,3,3,0.08014961261020571
139,1,22,0.11864315375074153
140,0,1,0.010400416016640665
140,3,39,1.0419449639326743
141,0,5,0.05200208008320333
141,3,54,1.4426930269837028
141,7,5,0.9140767824497258
142,1,75,0.4044652968775279
143,3,51,1.3625434143734971
144,3,24,0.6411969008816457
145,1,24,0.12942889500080892
146,2,13,0.24937655860349126
147,2,33,0.6330328026088625
148,2,29,0.5563015538077882
149,2,23,0.4412046806061769
150,3,42,1.12209457654288
151,1,13,0.07010731812543818
152,0,1,0.010400416016640665
152,2,10,0.1918281220026856
153,2,115,2.2060234030308843
154,2,38,0.7289468636102052
155,2,26,0.4987531172069825
156,0,4,0.04160166406656266
156,1,19,0.10246454187564039
156,3,24,0.6411969008816457
157,1,14,0.07550018875047187
158,1,47,0.25346491937658416
159,2,28,0.5371187416075196
160,1,26,0.14021463625087635
161,1,23,0.12403602437577523
162,2,46,0.8824093612123538
163,2,29,0.5563015538077882
164,2,29,0.5563015538077882
165,2,19,0.3644734318051026
166,2,28,0.5371187416075196
167,1,12,0.06471444750040446
168,0,1,0.010400416016640665
168,1,9,0.04853583562530335
169,2,20,0.3836562440053712
170,0,2,0.02080083203328133
170,2,39,0.7481296758104738
170,4,1,0.10362694300518134
171,2,17,0.3261078074045655
171,3,1,0.02671653753673524
172,2,38,0.7289468636102052
173,2,26,0.4987531172069825
174,2,29,0.5563015538077882
175,2,22,0.42202186840590833
176,2,31,0.5946671782083254
177,2,28,0.5371187416075196
178,2,30,0.5754843660080567
179,2,23,0.4412046806061769
180,0,1,0.010400416016640665
180,2,26,0.4987531172069825
181,0,1,0.010400416016640665
181,2,35,0.6713984270093996
182,1,24,0.12942889500080892
183,2,15,0.2877421830040284
184,2,34,0.652215614809131
185,1,1,0.0053928706250337055
185,2,24,0.4603874928064454
186,2,18,0.3452906196048341
186,6,1,0.16891891891891891
187,2,24,0.4603874928064454
188,0,1,0.010400416016640665
188,2,55,1.0550546710147708
189,2,15,0.2877421830040284
190,2,19,0.3644734318051026
191,2,30,0.5754843660080567
191,7,1,0.18281535648994515
192,2,30,0.5754843660080567
193,2,15,0.2877421830040284
194,2,16,0.30692499520429695
195,2,30,0.5754843660080567
196,2,28,0.5371187416075196
197,2,41,0.786495300211011
198,0,1,0.010400416016640665
198,2,26,0.4987531172069825
199,0,120,1.24804992199688
200,1,22,0.11864315375074153
201,1,45,0.24267917812651674
202,0,23,0.23920956838273533
202,3,2,0.05343307507347048
202,7,11,2.010968921389397
203,2,25,0.479570305006714
204,2,17,0.3261078074045655
205,1,46,0.24807204875155045
206,1,15,0.08089305937550557
207,1,39,0.2103219543763145
208,7,25,4.570383912248629
209,1,32,0.17257186000107858
210,1,35,0.1887504718761797
211,1,26,0.14021463625087635
212,3,38,1.015228426395939
213,2,20,0.3836562440053712
214,0,51,0.5304212168486739
214,2,7,0.1342796854018799
214,3,1,0.02671653753673524
215,3,8,0.21373230029388193
215,7,13,2.376599634369287
216,0,1,0.010400416016640665
216,3,15,0.4007480630510286
